player_id,player_name,year,team
"51009","Johann Horvath","1934","Austria"
"59798","Johann Walzhofer","1934","Austria"
"174400","Josef Bican","1934","Austria"
"69524","Josef Hassmann","1934","Austria"
"58165","Josef Smistik","1934","Austria"
"58494","Josef Stroh","1934","Austria"
"44631","Karl Sesta","1934","Austria"
"60365","Karl Zischek","1934","Austria"
"50951","Leopold Hofmann","1934","Austria"
"69522","Mathias Kaburek","1934","Austria"
"44642","Matthias Sindelar","1934","Austria"
"174868","Peter Platzer","1934","Austria"
"59607","Rudi Viertl","1934","Austria"
"56589","Rudolf Raftl","1934","Austria"
"44608","Toni Schall","1934","Austria"
"69520","Willi Schmaus","1934","Austria"
"69454","Albert Heremans","1934","Belgium"
"59389","Andre Van De Weyer","1934","Belgium"
"46045","Arnold Badjou","1934","Belgium"
"50795","Auguste Hellemans","1934","Belgium"
"59711","Bernard Voorhoof","1934","Belgium"
"69455","Charles Simons","1934","Belgium"
"51567","Costant Joacim","1934","Belgium"
"46861","Desire Bourgeois","1934","Belgium"
"59887","Felix Welkenhuysen","1934","Belgium"
"48478","Francois De Vries","1934","Belgium"
"56051","Frans Peeraer","1934","Belgium"
"69457","Georges Putmans","1934","Belgium"
"46946","Jean Brichaut","1934","Belgium"
"47272","Jean Capelle","1934","Belgium"
"47807","Jean Claessens","1934","Belgium"
"59420","Jos Van Ingelgem","1934","Belgium"
"55923","Jules Pappaert","1934","Belgium"
"50251","Laurent Grimmonprez","1934","Belgium"
"59575","Louis Versyp","1934","Belgium"
"58161","Philibert Smellinckx","1934","Belgium"
"52860","Rene Ledent","1934","Belgium"
"69458","Robert Lamoot","1934","Belgium"
"69556","Ariel","1934","Brazil"
"63828","Armandinho","1934","Brazil"
"69554","Attila","1934","Brazil"
"47251","Canalli","1934","Brazil"
"69557","Germano","1934","Brazil"
"63829","Leonidas","1934","Brazil"
"63835","Luisinho","1934","Brazil"
"53294","Luiz Luz","1934","Brazil"
"63827","Martim","1934","Brazil"
"69555","Octacilio","1934","Brazil"
"63825","Patesko","1934","Brazil"
"56049","Pedrosa","1934","Brazil"
"63826","Sylvio Hoffmann","1934","Brazil"
"58980","Tinoco","1934","Brazil"
"48289","Waldemar De Britto","1934","Brazil"
"69558","Waldyr","1934","Brazil"
"174884","Antonin Puc","1934","Czechoslovakia"
"69494","Antonin Vodicka","1934","Czechoslovakia"
"69493","Cestmir Patzel","1934","Czechoslovakia"
"51705","Frantisek Junek","1934","Czechoslovakia"
"174865","Frantisek Planicka","1934","Czechoslovakia"
"58627","Frantisek Svoboda","1934","Czechoslovakia"
"69495","Geza Kalocsay","1934","Czechoslovakia"
"174424","Jaroslav Boucek","1934","Czechoslovakia"
"47071","Jaroslav Burgr","1934","Czechoslovakia"
